  ,loss,lr,dropout,opt,pooling,acc,val_acc,loss_value,val_loss
  0,categorical_crossentropy,0.005,0.3,adam,max,0.982699990272522,0.8134999871253967,0.05094645917415619,0.8739220499992371
  1,mean_squared_error,0.005,0.3,adam,max,0.9755399823188782,0.8162999749183655,0.0039016399532556534,0.028774920850992203
  2,categorical_crossentropy,0.001,0.3,adam,max,0.9873999953269958,0.8122000098228455,0.036502156406641006,0.9084367156028748
  3,mean_squared_error,0.001,0.3,adam,max,0.9668800234794617,0.8054999709129333,0.005121569149196148,0.030964171513915062
  4,categorical_crossentropy,0.0001,0.3,adam,max,0.9850999712944031,0.6791999936103821,0.05323021486401558,1.4379479885101318
  5,mean_squared_error,0.0001,0.3,adam,max,0.9637600183486938,0.6966000199317932,0.006020405329763889,0.0457441508769989
  6,categorical_crossentropy,0.005,0.5,adam,max,0.9847599864006042,0.8166999816894531,0.04526571184396744,0.840005099773407
  7,mean_squared_error,0.005,0.5,adam,max,0.9549199938774109,0.8058000206947327,0.006954308599233627,0.030467113479971886
  8,categorical_crossentropy,0.001,0.5,adam,max,0.9773200154304504,0.8014000058174133,0.06537435203790665,0.9227089881896973
  9,mean_squared_error,0.001,0.5,adam,max,0.9673799872398376,0.8029000163078308,0.00509100966155529,0.03191027790307999
  10,categorical_crossentropy,0.0001,0.5,adam,max,0.9894400238990784,0.7031000256538391,0.0506577305495739,1.1684964895248413
  11,mean_squared_error,0.0001,0.5,adam,max,0.9255399703979492,0.7019000053405762,0.011594465002417564,0.04377572610974312
  12,categorical_crossentropy,0.005,0.3,adam,avg,0.9678000211715698,0.809499979019165,0.09721206873655319,0.9040825366973877
  13,mean_squared_error,0.005,0.3,adam,avg,0.9700599908828735,0.8172000050544739,0.00472243782132864,0.029285984113812447
  14,categorical_crossentropy,0.001,0.3,adam,avg,0.9852799773216248,0.8251000046730042,0.04228955879807472,0.8813745975494385
  15,mean_squared_error,0.001,0.3,adam,avg,0.9795600175857544,0.8328999876976013,0.00328009482473135,0.026815585792064667
  16,categorical_crossentropy,0.0001,0.3,adam,avg,0.9963799715042114,0.734499990940094,0.025248408317565918,1.082409143447876
  17,mean_squared_error,0.0001,0.3,adam,avg,0.9676200151443481,0.7422999739646912,0.005355002824217081,0.038527511060237885
  18,categorical_crossentropy,0.005,0.5,adam,avg,0.9815800189971924,0.823199987411499,0.053745608776807785,0.8203244209289551
  19,mean_squared_error,0.005,0.5,adam,avg,0.939740002155304,0.7971000075340271,0.009217387065291405,0.032532718032598495
  20,categorical_crossentropy,0.001,0.5,adam,avg,0.983020007610321,0.823199987411499,0.04948342591524124,0.8062456250190735
  21,mean_squared_error,0.001,0.5,adam,avg,0.9724400043487549,0.8241000175476074,0.004304856061935425,0.027826843783259392
  22,categorical_crossentropy,0.0001,0.5,adam,avg,0.9838200211524963,0.7491000294685364,0.07062611728906631,0.9248133897781372
  23,mean_squared_error,0.0001,0.5,adam,avg,0.9383400082588196,0.7493000030517578,0.00979839637875557,0.03647753223776817

